".id","dates","totals","doi"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-23,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-24,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-25,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-02,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-03,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-03,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-04,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-04,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-05,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-05,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-06,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-06,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-07,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-07,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-08,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-08,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-09,0,"10.1371/journal.pone.0043938"
"twitter",2012-10-10,0,"10.1371/journal.pone.0043938"
